iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped
1,Lotsmart QA API_v1.24.0,suredrive_TaskcompletedStatusfrom_queue,GET,https://qaapi.lojack.com/v1/tasks/2e626aad-9056-4c59-b0e3-865ab59daf5e,OK,200,840,221,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Response time is less than 1200ms, Response has JSON body, sd task status: ",,
1,Lotsmart QA API_v1.24.0,suredrive_TaskfailedStatusfrom_queue,GET,https://qaapi.lojack.com/v1/tasks/ec022ced-8568-4e09-ba83-61bbbb6e47f6,OK,200,1167,418,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Response time is less than 1200ms, Response has JSON body, sd task status:fail ",,
1,Lotsmart QA API_v1.24.0,suredrive_TaskSStatusfrom_queue,POST,https://qaapi.lojack.com/v1/tasks,OK,200,634,784,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Response time is less than 1200ms, Response has JSON body",,
1,Lotsmart QA API_v1.24.0,suredrive_TasksStatusfrom_queueInvalidtaskIds,POST,https://qaapi.lojack.com/v1/tasks,OK,200,641,784,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Response time is less than 1200ms, Response has JSON body",,
1,Lotsmart QA API_v1.24.0,search asset in dealer account_O,OPTIONS,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=25,OK,200,578,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 94000ms",,
1,Lotsmart QA API_v1.24.0,search asset in dealer account_25,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=25 ,OK,200,1801,44980,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Number of vehicles, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_25,POST,https://qaapi.lojack.com/cvs,OK,200,2038,69206,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,search device in dealer account_O,OPTIONS,https://qaapi.lojack.com/v1/devices/search,OK,200,576,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 1400ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_25,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,3373,53070,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,
1,Lotsmart QA API_v1.24.0,search asset in dealer account by enabling subacc,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=10 ,OK,200,1522,19540,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search device in dealer account_O,OPTIONS,https://qaapi.lojack.com/v1/devices/search,OK,200,631,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 1400ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_10,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,2725,21980,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_10options,OPTIONS,https://qaapi.lojack.com/cvs,OK,200,595,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_25wsubacc,POST,https://qaapi.lojack.com/cvs,OK,200,959,33864,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,search asset in dealer wosubacc account rpp10,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=10 ,OK,200,1436,26040,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_10wosubacc,POST,https://qaapi.lojack.com/cvs,OK,200,1258,33037,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_10wosubacc,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,2925,22335,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,
1,Lotsmart QA API_v1.24.0,search asset in dealerwosubaccount,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=25 ,OK,200,3752,56142,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_25wosubacc,POST,https://qaapi.lojack.com/cvs,OK,200,3313,68083,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_25wosubacc,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,2856,53447,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,
